Lote,Nome,Contato,Email,Leitura_Setembro,Leitura_Outubro,consumo_bruto,status
B13,Miguel Ângelo Freitas, (86) 98765-1313,miguel.freitas@example.com,3227,3695,468,OK
S03,Leonardo Xavier Pires, (87) 98765-4344,leonardo.pires@example.com,3227,3695,468,OK
B04,Brenda Caroline Neta, (75) 99876-0404,brenda.neta@example.com,4957,5416,459,OK
E02,Letícia Nunes Pereira, (74) 99876-6262,leticia.pereira@example.com,4672,5109,437,OK
R10,Emanuelly Luiza Cunha, (69) 99876-3031,emanuelly.cunha@example.com,3442,3873,431,OK
V10,Yasmin Gabriela Bezerra, (97) 99876-1011,yasmin.bezerra@example.com,3442,3873,431,OK
D12,Laura Júlia Leite, (83) 99876-5252,laura.leite@example.com,4340,4770,430,OK
A04,Mariana Lima Costa, (61) 99876-1234,mariana.costa@example.com,3954,4383,429,OK
U02,Sophia Mendes Pires, (75) 99876-8283,sophia.pires@example.com,3954,4383,429,OK
P04,Vitória Régia Bezerra, (95) 99876-8485,vitoria.bezerra@example.com,3954,4383,429,OK
