Lote,Nome,Contato,Email,Leitura_Setembro,Leitura_Outubro,consumo_bruto,status
L01,Rafaela Alves Dutra, (80) 98765-0102,rafaela.dutra@example.com,3990,6500,2510,Consumo Excessivo
I12,Carolina Mendes Almeida, (60) 99876-5253,carolina.almeida@example.com,4923,6500,1577,Consumo Excessivo
L04,Amanda Pires Sales, (28) 99876-0405,amanda.sales@example.com,1663,2362,699,Consumo Excessivo
T07,Fernando Xavier Pires, (52) 98765-6768,fernando.pires@example.com,1894,2498,604,Consumo Excessivo
B13,Miguel Ângelo Freitas, (86) 98765-1313,miguel.freitas@example.com,3227,3695,468,OK
S03,Leonardo Xavier Pires, (87) 98765-4344,leonardo.pires@example.com,3227,3695,468,OK
B04,Brenda Caroline Neta, (75) 99876-0404,brenda.neta@example.com,4957,5416,459,OK
E02,Letícia Nunes Pereira, (74) 99876-6262,leticia.pereira@example.com,4672,5109,437,OK
R10,Emanuelly Luiza Cunha, (69) 99876-3031,emanuelly.cunha@example.com,3442,3873,431,OK
V10,Yasmin Gabriela Bezerra, (97) 99876-1011,yasmin.bezerra@example.com,3442,3873,431,OK
D12,Laura Júlia Leite, (83) 99876-5252,laura.leite@example.com,4340,4770,430,OK
A04,Mariana Lima Costa, (61) 99876-1234,mariana.costa@example.com,3954,4383,429,OK
U02,Sophia Mendes Pires, (75) 99876-8283,sophia.pires@example.com,3954,4383,429,OK
P04,Vitória Régia Bezerra, (95) 99876-8485,vitoria.bezerra@example.com,3954,4383,429,OK
D02,Amanda Pires Campos, (28) 99876-4242,amanda.campos@example.com,2841,3269,428,OK
B10,Giovanna Martins Alves, (96) 99876-1010,giovanna.alves@example.com,4882,5309,427,OK
D08,Heloísa Cunha Barros, (57) 99876-4848,heloisa.barros@example.com,4434,4856,422,OK
U20,Sofia Beatriz Pires, (45) 99876-0001,sofia.pires@example.com,4025,4438,413,OK
H20,Yasmin Gabriela Lima, (97) 99876-4041,yasmin.lima@example.com,4025,4438,413,OK
X03,Caio Henrique Bezerra, (88) 98765-4344,caio.bezerra@example.com,4027,4438,411,OK
S15,João Pedro Pires, (80) 98765-5556,joao.pires@example.com,4027,4438,411,OK
K03,Ricardo Jorge Almeida, (53) 98765-8384,ricardo.almeida@example.com,4027,4438,411,OK
E01,André Luís Ramos, (82) 98765-6161,andre.ramos@example.com,1924,2329,405,OK
M17,Ricardo Jorge Cunha, (53) 98765-3738,ricardo.cunha@example.com,1925,2329,404,OK
X02,Giovanna Sales Pires, (96) 99876-4243,giovanna.pires@example.com,4034,4438,404,OK
K02,Letícia Lima Sales, (99) 99876-8283,leticia.sales@example.com,4034,4438,404,OK
E03,Arthur Gabriel Freitas, (65) 98765-6363,arthur.freitas@example.com,4744,5148,404,OK
F03,Cauã Miguel Silva, (66) 98765-8383,caua.silva@example.com,1387,1789,402,OK
Q01,João Pedro Pires, (80) 98765-0102,joao.pires@example.com,3799,4201,402,OK
A05,Guilherme Alves Pires, (11) 98765-9988,guilherme.pires@example.com,3799,4201,402,OK
M20,Lara Vitória Cunha, (76) 99876-4041,lara.cunha@example.com,1387,1789,402,OK
C20,Mariana Lima Teixeira, (38) 99876-4040,mariana.teixeira@example.com,1869,2270,401,OK
D04,Carolina Mendes Freitas, (60) 99876-4444,carolina.freitas@example.com,2608,3008,400,OK
H05,Henrique Pires Leite, (77) 98765-2526,henrique.leite@example.com,4229,4627,398,OK
V08,Isadora Mendes Cunha, (94) 99876-0809,isadora.cunha@example.com,3672,4069,397,OK
I08,Mariana Lima Santos, (38) 99876-4849,mariana.santos@example.com,3672,4069,397,OK
C12,Yasmin Gabriela Silva, (97) 99876-3232,yasmin.silva@example.com,3859,4255,396,OK
